OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"86,810",0.7,25.44,"52,910",0.6,15.39,18.07,23.29,31.41,40.46,"32,010","37,590","48,440","65,330","84,160",,
21-1093,Social and Human Service Assistants,detailed,"355,500",0.9,15.04,"31,280",0.4,9.43,11.14,14.05,17.79,22.41,"19,620","23,160","29,230","37,000","46,620",,
21-1094,Community Health Workers,detailed,"45,800",2.0,18.10,"37,640",0.9,9.96,12.91,16.64,21.78,28.31,"20,720","26,860","34,610","45,310","58,890",,
21-1099,"Community and Social Service Specialists, All Other",detailed,"92,830",1.2,20.52,"42,690",0.7,11.54,14.88,19.26,25.09,32.34,"24,010","30,940","40,050","52,180","67,270",,
21-2000,Religious Workers,minor,"71,540",2.0,21.70,"45,130",0.8,9.37,13.52,19.65,27.38,36.21,"19,490","28,120","40,880","56,940","75,320",,
21-2010,Clergy,broad,"45,020",2.1,22.86,"47,540",1.0,10.79,15.00,21.06,28.03,36.86,"22,440","31,190","43,800","58,310","76,660",,
21-2011,Clergy,detailed,"45,020",2.1,22.86,"47,540",1.0,10.79,15.00,21.06,28.03,36.86,"22,440","31,190","43,800","58,310","76,660",,
21-2020,"Directors, Religious Activities and Education",broad,"18,600",4.1,21.27,"44,240",1.8,9.03,12.36,18.35,27.39,37.50,"18,780","25,720","38,160","56,980","78,000",,
21-2021,"Directors, Religious Activities and Education",detailed,"18,600",4.1,21.27,"44,240",1.8,9.03,12.36,18.35,27.39,37.50,"18,780","25,720","38,160","56,980","78,000",,
21-2090,Miscellaneous Religious Workers,broad,"7,920",6.2,16.11,"33,520",3.2,8.62,9.51,13.82,20.39,29.21,"17,920","19,790","28,750","42,410","60,760",,
21-2099,"Religious Workers, All Other",detailed,"7,920",6.2,16.11,"33,520",3.2,8.62,9.51,13.82,20.39,29.21,"17,920","19,790","28,750","42,410","60,760",,
23-0000,Legal Occupations,major,"1,041,700",0.5,47.89,"99,620",0.5,17.04,23.50,36.59,63.24,#,"35,450","48,880","76,100","131,530",#,,
23-1000,"Lawyers, Judges, and Related Workers",minor,"651,840",0.6,61.57,"128,070",0.6,24.97,35.07,53.66,79.12,#,"51,940","72,940","111,610","164,570",#,,
23-1010,Lawyers and Judicial Law Clerks,broad,"603,560",0.6,62.78,"130,580",0.6,25.80,35.66,54.24,80.91,#,"53,670","74,180","112,820","168,300",#,,
23-1011,Lawyers,detailed,"592,670",0.7,63.46,"131,990",0.6,26.52,36.32,54.95,81.67,#,"55,170","75,540","114,300","169,880",#,,
23-1012,Judicial Law Clerks,detailed,"10,890",1.8,25.91,"53,890",2.0,13.66,18.17,22.90,31.18,41.98,"28,410","37,790","47,640","64,860","87,310",,
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"48,280",1.2,46.48,"96,690",1.0,17.11,25.61,44.96,64.62,79.47,"35,580","53,270","93,520","134,410","165,300",,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"14,270",0.5,43.09,"89,630",0.4,19.39,28.09,41.92,55.51,74.58,"40,330","58,420","87,190","115,450","155,140",,
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,"6,830",7.0,36.94,"76,840",5.3,16.88,21.09,29.06,46.29,65.71,"35,110","43,860","60,450","96,280","136,670",,
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,"27,190",0.9,50.66,"105,380",1.1,15.36,27.25,56.80,69.10,82.30,"31,960","56,680","118,150","143,740","171,180",,
23-2000,Legal Support Workers,minor,"389,860",0.9,25.02,"52,040",0.4,14.00,17.63,22.76,29.87,39.19,"29,110","36,680","47,340","62,130","81,520",,
23-2010,Paralegals and Legal Assistants,broad,"271,320",1.2,24.60,"51,170",0.5,14.30,17.83,22.87,29.51,37.00,"29,740","37,090","47,570","61,390","76,960",,
23-2011,Paralegals and Legal Assistants,detailed,"271,320",1.2,24.60,"51,170",0.5,14.30,17.83,22.87,29.51,37.00,"29,740","37,090","47,570","61,390","76,960",,
23-2090,Miscellaneous Legal Support Workers,broad,"118,540",1.8,25.97,"54,020",0.7,13.30,17.19,22.54,31.35,44.24,"27,670","35,750","46,870","65,200","92,010",,
23-2091,Court Reporters,detailed,"19,200",2.6,26.33,"54,760",1.6,12.66,16.87,23.83,34.26,44.83,"26,340","35,090","49,560","71,260","93,240",,
23-2093,"Title Examiners, Abstractors, and Searchers",detailed,"53,640",3.6,22.76,"47,340",1.2,12.88,16.13,20.59,26.95,35.99,"26,780","33,540","42,830","56,050","74,860",,
23-2099,"Legal Support Workers, All Other",detailed,"45,700",2.1,29.60,"61,560",5.3,14.67,19.39,25.27,35.97,54.16,"30,510","40,320","52,560","74,820","112,650",,
25-0000,"Education, Training, and Library Occupations",major,"8,400,640",0.3,24.76,"51,500",0.5,10.00,14.66,22.19,31.01,41.83,"20,800","30,490","46,140","64,500","87,000",,
25-1000,Postsecondary Teachers,minor,"1,511,280",0.9,*,"74,620",0.9,*,*,*,*,*,"28,960","43,090","62,920","91,830","135,430",TRUE,
25-1010,"Business Teachers, Postsecondary",broad,"85,220",2.1,*,"89,100",1.3,*,*,*,*,*,"35,460","49,530","75,120","113,310","162,840",TRUE,
25-1011,"Business Teachers, Postsecondary",detailed,"85,220",2.1,*,"89,100",1.3,*,*,*,*,*,"35,460","49,530","75,120","113,310","162,840",TRUE,
25-1020,"Math and Computer Teachers, Postsecondary",broad,"89,740",1.5,*,"76,910",1.0,*,*,*,*,*,"35,570","49,120","68,680","95,500","132,410",TRUE,
25-1021,"Computer Science Teachers, Postsecondary",detailed,"35,770",2.1,*,"80,990",1.3,*,*,*,*,*,"37,190","52,100","73,100","102,580","137,810",TRUE,
25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"53,970",1.4,*,"74,210",0.9,*,*,*,*,*,"34,750","47,400","65,930","91,780","127,640",TRUE,
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"42,210",2.3,*,"98,930",1.1,*,*,*,*,*,"47,960","66,850","90,640","121,640","160,640",TRUE,
25-1031,"Architecture Teachers, Postsecondary",detailed,"7,340",7.8,*,"80,180",2.1,*,*,*,*,*,"39,360","53,040","72,550","95,170","131,940",TRUE,
25-1032,"Engineering Teachers, Postsecondary",detailed,"34,870",2.1,*,"102,880",1.1,*,*,*,*,*,"51,180","70,900","94,460","126,390","166,090",TRUE,
25-1040,"Life Sciences Teachers, Postsecondary",broad,"62,500",1.6,*,"86,860",1.4,*,*,*,*,*,"40,790","55,310","77,270","107,290","146,430",TRUE,
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,"10,120",6.6,*,"86,710",1.6,*,*,*,*,*,"43,770","61,850","83,060","107,960","136,270",TRUE,
25-1042,"Biological Science Teachers, Postsecondary",detailed,"50,230",1.4,*,"87,080",1.0,*,*,*,*,*,"40,280","54,340","75,740","107,260","149,480",TRUE,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,"2,140",4.6,*,"82,620",2.2,*,*,*,*,*,"40,720","57,500","81,630","104,670","128,080",TRUE,
25-1050,"Physical Sciences Teachers, Postsecondary",broad,"50,650",1.3,*,"87,330",0.9,*,*,*,*,*,"42,360","56,040","76,860","108,460","145,600",TRUE,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"10,690",2.3,*,"90,830",1.2,*,*,*,*,*,"42,380","57,120","81,640","115,640","149,190",TRUE,
25-1052,"Chemistry Teachers, Postsecondary",detailed,"20,820",1.4,*,"83,330",0.9,*,*,*,*,*,"41,290","53,780","72,670","101,110","140,740",TRUE,
25-1053,"Environmental Science Teachers, Postsecondary",detailed,"5,130",3.8,*,"87,450",1.4,*,*,*,*,*,"41,750","57,060","78,490","109,060","145,370",TRUE,
25-1054,"Physics Teachers, Postsecondary",detailed,"14,010",1.8,*,"90,570",1.3,*,*,*,*,*,"44,840","58,830","80,590","111,290","148,150",TRUE,
25-1060,"Social Sciences Teachers, Postsecondary",broad,"119,940",2.2,*,"80,500",0.8,*,*,*,*,*,"37,160","52,070","71,430","97,720","135,960",TRUE,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,"5,920",2.3,*,"83,190",1.2,*,*,*,*,*,"41,700","56,390","75,930","102,410","135,430",TRUE,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,"9,700",3.1,*,"77,550",2.5,*,*,*,*,*,"32,930","49,660","66,770","92,810","136,560",TRUE,
25-1063,"Economics Teachers, Postsecondary",detailed,"13,600",1.6,*,"100,490",1.2,*,*,*,*,*,"45,010","64,610","90,070","121,960","168,000",TRUE,
25-1064,"Geography Teachers, Postsecondary",detailed,"4,400",2.0,*,"73,980",1.0,*,*,*,*,*,"37,600","52,070","70,500","91,750","117,220",TRUE,
25-1065,"Political Science Teachers, Postsecondary",detailed,"17,660",1.6,*,"84,110",1.5,*,*,*,*,*,"38,020","53,650","73,760","104,860","143,220",TRUE,
25-1066,"Psychology Teachers, Postsecondary",detailed,"40,380",5.7,*,"76,060",0.9,*,*,*,*,*,"36,410","50,590","68,980","92,200","123,620",TRUE,
25-1067,"Sociology Teachers, Postsecondary",detailed,"17,200",1.7,*,"74,470",1.2,*,*,*,*,*,"35,910","50,260","67,940","91,360","119,900",TRUE,
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,"11,080",4.4,*,"79,490",1.9,*,*,*,*,*,"34,320","48,460","68,230","95,550","140,740",TRUE,
25-1070,"Health Teachers, Postsecondary",broad,"220,120",2.0,*,"96,760",2.0,*,*,*,*,*,"39,570","54,080","77,060","118,200","186,660",TRUE,
25-1071,"Health Specialties Teachers, Postsecondary",detailed,"163,850",2.5,*,"105,880",2.3,*,*,*,*,*,"38,940","55,340","85,030","138,070",#,TRUE,
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,"56,270",1.8,*,"70,200",0.6,*,*,*,*,*,"40,950","52,220","65,940","84,180","106,470",TRUE,
25-1080,"Education and Library Science Teachers, Postsecondary",broad,"67,860",2.3,*,"66,150",0.8,*,*,*,*,*,"31,200","44,480","60,770","81,010","109,140",TRUE,
25-1081,"Education Teachers, Postsecondary",detailed,"63,190",2.4,*,"65,630",0.9,*,*,*,*,*,"30,490","43,730","60,170","80,390","108,640",TRUE,
25-1082,"Library Science Teachers, Postsecondary",detailed,"4,670",3.3,*,"73,260",1.3,*,*,*,*,*,"43,930","53,710","67,740","87,650","113,780",TRUE,
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"41,240",2.9,*,"87,190",1.7,*,*,*,*,*,"32,780","48,960","69,220","108,310","167,630",TRUE,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"14,870",2.7,*,"61,850",1.2,*,*,*,*,*,"30,800","43,070","56,980","74,230","98,500",TRUE,
25-1112,"Law Teachers, Postsecondary",detailed,"15,600",6.0,*,"122,280",2.5,*,*,*,*,*,"36,450","65,460","105,080","165,730",#,TRUE,
25-1113,"Social Work Teachers, Postsecondary",detailed,"10,780",3.4,*,"71,380",1.8,*,*,*,*,*,"33,600","48,140","64,280","88,810","121,170",TRUE,
25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,"275,820",1.4,*,"70,530",1.1,*,*,*,*,*,"33,020","45,750","62,440","85,970","118,700",TRUE,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,"92,930",2.4,*,"72,630",2.2,*,*,*,*,*,"32,530","45,420","62,830","87,080","122,360",TRUE,
25-1122,"Communications Teachers, Postsecondary",detailed,"29,920",1.8,*,"69,620",0.9,*,*,*,*,*,"33,560","46,860","63,570","87,120","117,030",TRUE,
25-1123,"English Language and Literature Teachers, Postsecondary",detailed,"75,320",1.4,*,"68,360",0.8,*,*,*,*,*,"32,610","44,380","60,920","83,910","116,460",TRUE,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,"30,590",3.0,*,"66,300",1.1,*,*,*,*,*,"32,790","44,160","58,620","79,490","112,830",TRUE,
25-1125,"History Teachers, Postsecondary",detailed,"23,640",1.3,*,"74,100",0.9,*,*,*,*,*,"36,350","50,020","66,790","89,780","121,740",TRUE,
25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,"23,430",3.0,*,"72,200",0.9,*,*,*,*,*,"34,450","49,110","65,540","88,990","118,320",TRUE,
25-1190,Miscellaneous Postsecondary Teachers,broad,"455,970",1.5,*,"56,490",1.8,*,*,*,*,*,"19,450","31,950","46,480","69,760","101,480",TRUE,
25-1191,Graduate Teaching Assistants,detailed,"118,820",3.3,*,"31,810",2.1,*,*,*,*,*,"17,730","19,550","29,950","40,730","49,350",TRUE,
25-1192,"Home Economics Teachers, Postsecondary",detailed,"3,870",3.2,*,"67,110",1.8,*,*,*,*,*,"32,990","47,300","62,740","84,740","108,790",TRUE,
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"18,820",2.4,*,"63,770",1.3,*,*,*,*,*,"26,820","41,020","57,690","79,070","108,450",TRUE,
25-1194,"Vocational Education Teachers, Postsecondary",detailed,"121,360",1.8,25.33,"52,680",0.7,13.43,17.43,23.22,31.07,40.92,"27,940","36,260","48,300","64,630","85,120",,
25-1199,"Postsecondary Teachers, All Other",detailed,"193,110",2.6,*,"73,140",2.5,*,*,*,*,*,"26,480","41,370","60,670","90,840","133,360",TRUE,
25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,"4,024,430",0.4,*,"54,740",0.7,*,*,*,*,*,"32,200","41,360","52,430","66,790","83,110",TRUE,
25-2010,Preschool and Kindergarten Teachers,broad,"510,540",0.9,18.29,"38,040",1.1,9.33,11.45,16.06,22.97,31.03,"19,400","23,830","33,400","47,790","64,540",,
25-2011,"Preschool Teachers, Except Special Education",detailed,"352,730",1.3,15.11,"31,420",1.9,8.86,10.41,13.26,17.76,23.88,"18,420","21,660","27,570","36,940","49,660",,
25-2012,"Kindergarten Teachers, Except Special Education",detailed,"157,800",1.1,*,"52,840",0.4,*,*,*,*,*,"32,890","40,620","50,230","62,820","77,140",TRUE,
25-2020,Elementary and Middle School Teachers,broad,"1,984,360",0.5,*,"56,420",0.6,*,*,*,*,*,"36,150","43,310","53,710","67,620","83,330",TRUE,
25-2021,"Elementary School Teachers, Except Special Education",detailed,"1,344,240",0.6,*,"56,320",0.7,*,*,*,*,*,"35,760","43,070","53,590","67,730","83,600",TRUE,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"621,970",1.1,*,"56,630",0.6,*,*,*,*,*,"37,050","43,790","53,940","67,420","82,770",TRUE,
25-2023,"Career/Technical Education Teachers, Middle School",detailed,"18,150",6.0,*,"56,830",0.9,*,*,*,*,*,"38,230","44,330","54,270","67,120","80,080",TRUE,
25-2030,Secondary School Teachers,broad,"1,031,750",0.8,*,"58,170",0.5,*,*,*,*,*,"37,340","44,500","55,330","69,790","86,350",TRUE,
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"946,730",0.8,*,"58,260",0.5,*,*,*,*,*,"37,230","44,440","55,360","69,970","86,720",TRUE,
25-2032,"Career/Technical Education Teachers, Secondary School",detailed,"85,020",2.3,*,"57,200",0.5,*,*,*,*,*,"38,560","45,110","55,120","67,840","81,680",TRUE,
25-2050,Special Education Teachers,broad,"497,780",0.9,*,"58,050",0.9,*,*,*,*,*,"36,160","43,880","54,900","69,790","87,310",TRUE,
25-2051,"Special Education Teachers, Preschool",detailed,"24,420",5.0,*,"55,990",2.4,*,*,*,*,*,"32,120","41,220","52,070","66,840","86,240",TRUE,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"198,350",1.2,*,"56,690",0.9,*,*,*,*,*,"35,920","43,380","53,910","67,710","84,020",TRUE,
25-2053,"Special Education Teachers, Middle School",detailed,"96,770",1.8,*,"59,540",1.1,*,*,*,*,*,"38,390","45,400","56,300","71,150","88,550",TRUE,
25-2054,"Special Education Teachers, Secondary School",detailed,"133,490",1.3,*,"60,410",0.9,*,*,*,*,*,"38,550","45,790","56,920","72,370","90,460",TRUE,
25-2059,"Special Education Teachers, All Other",detailed,"44,750",6.9,*,"54,920",2.3,*,*,*,*,*,"30,110","39,790","49,970","68,610","87,180",TRUE,
25-3000,Other Teachers and Instructors,minor,"1,157,660",1.1,17.88,"37,190",1.0,8.68,10.50,14.42,21.49,31.69,"18,050","21,830","29,990","44,700","65,920",,
25-3010,Adult Basic and Secondary Education and Literacy Teachers and Instructors,broad,"69,880",3.3,25.89,"53,850",1.2,13.76,18.68,24.57,32.67,40.67,"28,630","38,850","51,110","67,950","84,590",,
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"69,880",3.3,25.89,"53,850",1.2,13.76,18.68,24.57,32.67,40.67,"28,630","38,850","51,110","67,950","84,590",,
25-3020,Self-Enrichment Education Teachers,broad,"187,180",1.6,19.56,"40,680",0.9,8.93,11.64,17.07,24.69,34.06,"18,580","24,220","35,500","51,360","70,850",,
25-3021,Self-Enrichment Education Teachers,detailed,"187,180",1.6,19.56,"40,680",0.9,8.93,11.64,17.07,24.69,34.06,"18,580","24,220","35,500","51,360","70,850",,
25-3090,Miscellaneous Teachers and Instructors,broad,"900,610",1.4,16.91,"35,170",1.3,8.57,10.16,13.61,19.62,29.08,"17,820","21,130","28,310","40,800","60,490",,
25-3098,Substitute Teachers,detailed,"630,320",1.5,14.11,"29,350",1.7,8.38,9.69,12.42,16.26,20.87,"17,420","20,150","25,830","33,820","43,410",,
25-3099,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"270,290",2.1,*,"48,750",1.9,*,*,*,*,*,"19,350","26,450","42,970","63,150","84,340",TRUE,
25-4000,"Librarians, Curators, and Archivists",minor,"258,820",0.8,22.96,"47,750",0.5,10.91,15.15,21.63,28.94,36.74,"22,700","31,520","44,980","60,190","76,420",,
25-4010,"Archivists, Curators, and Museum Technicians",broad,"26,330",2.4,24.41,"50,770",1.1,12.62,16.51,22.10,30.04,39.39,"26,250","34,340","45,970","62,480","81,930",,
25-4011,Archivists,detailed,"5,560",4.4,25.32,"52,670",1.2,13.66,18.05,23.61,31.03,40.53,"28,420","37,550","49,110","64,550","84,310",,
25-4012,Curators,detailed,"10,910",3.8,26.74,"55,620",1.2,13.68,17.92,24.30,33.19,42.30,"28,450","37,270","50,550","69,030","87,980",,
25-4013,Museum Technicians and Conservators,detailed,"9,860",3.6,21.31,"44,330",1.6,11.27,15.00,19.24,25.99,34.59,"23,440","31,200","40,020","54,050","71,950",,
25-4020,Librarians,broad,"136,510",0.8,27.67,"57,550",0.4,16.05,21.10,26.78,33.66,41.50,"33,380","43,890","55,690","70,010","86,320",,
25-4021,Librarians,detailed,"136,510",0.8,27.67,"57,550",0.4,16.05,21.10,26.78,33.66,41.50,"33,380","43,890","55,690","70,010","86,320",,
25-4030,Library Technicians,broad,"95,980",1.3,15.86,"33,000",0.5,9.05,11.41,15.04,19.39,23.87,"18,820","23,740","31,280","40,320","49,650",,
25-4031,Library Technicians,detailed,"95,980",1.3,15.86,"33,000",0.5,9.05,11.41,15.04,19.39,23.87,"18,820","23,740","31,280","40,320","49,650",,
25-9000,"Other Education, Training, and Library Occupations",minor,"1,448,450",0.5,*,"30,460",0.4,*,*,*,*,*,"17,590","20,130","25,920","34,700","48,950",TRUE,
25-9010,Audio-Visual and Multimedia Collections Specialists,broad,"8,840",3.0,22.52,"46,840",1.1,12.02,15.57,21.33,28.32,35.28,"25,010","32,380","44,360","58,900","73,380",,
25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,"8,840",3.0,22.52,"46,840",1.1,12.02,15.57,21.33,28.32,35.28,"25,010","32,380","44,360","58,900","73,380",,
25-9020,Farm and Home Management Advisors,broad,"9,120",3.8,23.56,"49,010",1.2,12.22,16.37,22.29,29.52,36.57,"25,420","34,060","46,370","61,400","76,060",,
25-9021,Farm and Home Management Advisors,detailed,"9,120",3.8,23.56,"49,010",1.2,12.22,16.37,22.29,29.52,36.57,"25,420","34,060","46,370","61,400","76,060",,
25-9030,Instructional Coordinators,broad,"133,840",1.2,30.32,"63,070",0.5,16.83,22.10,29.14,37.25,45.12,"35,000","45,970","60,610","77,480","93,840",,
25-9031,Instructional Coordinators,detailed,"133,840",1.2,30.32,"63,070",0.5,16.83,22.10,29.14,37.25,45.12,"35,000","45,970","60,610","77,480","93,840",,
25-9040,Teacher Assistants,broad,"1,190,720",0.6,*,"25,570",0.5,*,*,*,*,*,"17,300","19,430","24,000","30,190","36,770",TRUE,
25-9041,Teacher Assistants,detailed,"1,190,720",0.6,*,"25,570",0.5,*,*,*,*,*,"17,300","19,430","24,000","30,190","36,770",TRUE,
25-9090,"Miscellaneous Education, Training, and Library Workers",broad,"105,930",2.5,19.80,"41,190",1.4,9.92,12.81,17.65,24.01,34.03,"20,620","26,650","36,700","49,940","70,780",,
25-9099,"Education, Training, and Library Workers, All Other",detailed,"105,930",2.5,19.80,"41,190",1.4,9.92,12.81,17.65,24.01,34.03,"20,620","26,650","36,700","49,940","70,780",,
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,758,310",0.5,26.72,"55,580",0.8,9.57,14.05,21.45,32.77,47.43,"19,910","29,220","44,610","68,150","98,660",,
27-1000,Art and Design Workers,minor,"507,370",1.0,24.63,"51,240",0.5,10.56,14.24,20.72,30.86,43.32,"21,970","29,620","43,090","64,180","90,110",,
27-1010,Artists and Related Workers,broad,"87,240",2.3,36.19,"75,270",1.0,14.08,20.91,31.17,45.06,65.42,"29,300","43,490","64,840","93,720","136,070",,
27-1011,Art Directors,detailed,"32,250",2.2,46.46,"96,650",1.0,21.39,28.34,39.90,57.78,81.47,"44,500","58,950","83,000","120,190","169,450",,
27-1012,Craft Artists,detailed,"4,750",6.3,17.60,"36,600",3.0,8.70,10.77,14.62,21.94,31.09,"18,100","22,400","30,400","45,640","64,670",,
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,"11,980",6.4,24.47,"50,900",3.6,8.87,13.06,20.48,29.97,43.84,"18,450","27,160","42,610","62,350","91,200",,
27-1014,Multimedia Artists and Animators,detailed,"30,790",4.7,34.81,"72,400",1.9,16.83,22.40,30.99,42.67,57.16,"35,010","46,590","64,470","88,750","118,890",,
27-1019,"Artists and Related Workers, All Other",detailed,"7,470",7.1,28.11,"58,460",4.1,10.09,16.36,25.83,39.59,47.08,"20,980","34,020","53,720","82,350","97,930",,
27-1020,Designers,broad,"420,130",1.1,22.23,"46,250",0.4,10.34,13.59,19.19,28.03,38.02,"21,510","28,270","39,910","58,300","79,090",,
27-1021,Commercial and Industrial Designers,detailed,"28,540",2.8,31.04,"64,570",0.9,17.08,22.24,29.99,38.30,46.43,"35,530","46,250","62,370","79,670","96,570",,
27-1022,Fashion Designers,detailed,"17,370",6.0,35.37,"73,570",1.7,16.14,21.45,30.65,42.92,61.15,"33,580","44,620","63,760","89,270","127,190",,
27-1023,Floral Designers,detailed,"46,490",1.9,12.55,"26,100",0.8,8.51,9.67,11.65,14.54,17.89,"17,690","20,120","24,220","30,240","37,210",,
27-1024,Graphic Designers,detailed,"194,360",0.9,23.85,"49,610",0.4,12.83,16.36,21.55,29.09,38.11,"26,690","34,040","44,830","60,510","79,260",,
27-1025,Interior Designers,detailed,"43,710",2.6,26.06,"54,200",1.2,12.73,16.97,23.32,32.26,42.82,"26,490","35,290","48,500","67,110","89,060",,
27-1026,Merchandise Displayers and Window Trimmers,detailed,"72,590",5.4,14.39,"29,930",0.7,9.00,10.57,13.21,16.86,21.68,"18,730","21,980","27,470","35,070","45,100",,
27-1027,Set and Exhibit Designers,detailed,"9,750",5.2,25.96,"53,990",2.2,11.44,16.35,24.04,32.82,42.00,"23,790","34,010","50,000","68,270","87,350",,
27-1029,"Designers, All Other",detailed,"7,330",7.6,25.34,"52,700",2.2,10.15,15.32,22.61,32.64,44.92,"21,120","31,860","47,020","67,880","93,430",,
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,"488,570",1.3,28.25,"58,750",2.2,8.69,11.14,18.97,32.55,57.87,"18,080","23,160","39,450","67,700","120,360",,
27-2010,"Actors, Producers, and Directors",broad,"155,740",3.2,42.80,"89,020",3.0,11.12,17.53,30.48,54.84,#,"23,120","36,460","63,400","114,060",#,,
27-2011,Actors,detailed,"63,230",7.5,41.94,*,6.8,9.05,13.11,22.15,56.38,#,*,*,*,*,*,,TRUE
27-2012,Producers and Directors,detailed,"92,510",2.0,43.38,"90,240",1.6,15.21,21.67,33.40,53.55,89.92,"31,650","45,070","69,480","111,380","187,040",,
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,"236,100",1.3,*,"39,310",1.0,*,*,*,*,*,"17,380","19,350","29,360","46,310","68,670",TRUE,
27-2021,Athletes and Sports Competitors,detailed,"13,880",5.5,*,"71,850",4.8,*,*,*,*,*,"18,630","26,950","39,050","73,460",#,TRUE,
27-2022,Coaches and Scouts,detailed,"206,080",1.4,*,"37,610",0.8,*,*,*,*,*,"17,340","19,330","29,150","46,190","66,830",TRUE,
27-2023,"Umpires, Referees, and Other Sports Officials",detailed,"16,140",5.1,*,"33,020",5.1,*,*,*,*,*,"17,240","18,730","23,900","36,880","53,170",TRUE,
27-2030,Dancers and Choreographers,broad,"17,840",5.1,21.41,"44,540",4.2,8.61,10.88,16.90,26.68,37.24,"17,910","22,630","35,140","55,500","77,460",,
27-2031,Dancers,detailed,"11,540",6.6,20.00,*,6.2,8.47,9.69,14.87,23.38,34.22,*,*,*,*,*,,TRUE
27-2032,Choreographers,detailed,"6,300",7.6,24.00,"49,930",3.8,9.20,13.71,21.22,31.66,45.59,"19,140","28,510","44,130","65,850","94,830",,
27-2040,"Musicians, Singers, and Related Workers",broad,"62,450",2.7,29.92,*,2.1,9.11,14.69,23.46,35.77,56.49,*,*,*,*,*,,TRUE
27-2041,Music Directors and Composers,detailed,"23,190",2.3,26.23,"54,560",1.7,10.64,16.96,23.24,31.21,42.30,"22,130","35,280","48,330","64,910","87,970",,
27-2042,Musicians and Singers,detailed,"39,260",4.1,32.10,*,2.9,8.88,12.92,23.74,40.05,68.63,*,*,*,*,*,,TRUE
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,"16,440",12.0,25.69,*,9.3,8.66,11.10,17.11,26.35,43.36,*,*,*,*,*,,TRUE
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,"16,440",12.0,25.69,*,9.3,8.66,11.10,17.11,26.35,43.36,*,*,*,*,*,,TRUE
27-3000,Media and Communication Workers,minor,"553,780",0.7,28.61,"59,500",0.5,12.11,17.12,24.71,35.15,48.14,"25,200","35,620","51,400","73,110","100,120",,
27-3010,Announcers,broad,"38,010",2.2,19.80,"41,190",1.7,8.36,9.50,13.61,21.32,35.61,"17,390","19,750","28,310","44,350","74,070",,
27-3011,Radio and Television Announcers,detailed,"30,530",2.5,20.10,"41,800",1.7,8.39,9.62,13.95,21.48,36.46,"17,450","20,000","29,020","44,680","75,850",,
27-3012,Public Address System and Other Announcers,detailed,"7,480",4.9,18.60,"38,690",4.5,8.28,9.20,12.01,20.29,32.56,"17,210","19,140","24,990","42,210","67,720",,
27-3020,"News Analysts, Reporters and Correspondents",broad,"48,460",2.2,23.26,"48,380",1.2,10.13,13.02,17.71,27.52,42.14,"21,080","27,080","36,840","57,230","87,650",,
27-3021,Broadcast News Analysts,detailed,"4,820",6.0,40.73,"84,710",2.1,13.46,18.22,29.07,50.32,89.55,"28,000","37,890","60,470","104,670","186,260",,
